SUID	shared name	id	type	entrezgene_id	ENSG_ID	hgnc_symbol	TiO2_24hrs_10_Caco2.logFC	TiO2_24hrs_10_Caco2.P.Value	TiO2_24hrs_100_Caco2.logFC	TiO2_24hrs_100_Caco2.P.Value	TiO2_24hrs_10_SAE.logFC	TiO2_24hrs_10_SAE.P.Value	TiO2_24hrs_100_SAE.logFC	TiO2_24hrs_100_SAE.P.Value	TiO2_24hrs_10_THP1.logFC	TiO2_24hrs_10_THP1.P.Value	TiO2_24hrs_100_THP1.logFC	TiO2_24hrs_100_THP1.P.Value	name	selected
335	3712	3712	Gene	3712	ENSG00000128928	IVD	0.01741718	0.7403138	-0.01425033	0.7860365	-0.0004928697	0.9943328	-0.001056003	0.987858	-0.1978844	0.04296347	-0.5688782	8.437906e-05	3712	FALSE
2383	80781	80781	Gene	80781	ENSG00000182871	COL18A1	0.01400891	0.7959721	0.04151564	0.4502259	0.01078434	0.8605308	-0.06408621	0.3100688	-0.08121633	0.3735643	-0.1973682	0.04909762	80781	FALSE
336	594	594	Gene	594	ENSG00000083123	BCKDHB	-0.1027708	0.1773575	0.03254524	0.6540052	-0.188662	0.03176324	-0.2285143	0.01310224	0.03000117	0.7328409	-0.2860928	0.00850868	594	FALSE
337	27034	27034	Gene	27034	ENSG00000151498	ACAD8	0.01471466	0.8202108	0.0002185683	0.9973024	-0.08622099	0.1445527	-0.03677021	0.5136031	-0.1408439	0.3101633	-0.3686269	0.02034221	27034	FALSE
2385	5034	5034	Gene	5034	ENSG00000185624	P4HB	0.03792765	0.3253326	0.01158235	0.7579536	0.07150295	0.3622304	0.02864681	0.7097341	-0.08586257	0.4336598	-0.3838217	0.005274041	5034	FALSE
2389	1287	1287	Gene	1287	ENSG00000188153	COL4A5	0.191799	0.06720909	0.2682314	0.01733543	0.1397677	0.2004146	0.08188371	0.4396876	0.1708198	0.08304291	0.05424357	0.5509427	1287	FALSE
341	5096	5096	Gene	5096	ENSG00000114054	PCCB	0.009376123	0.9174469	0.02208052	0.8074263	-0.08505237	0.1590201	-0.1393965	0.03249921	-0.1216767	0.3259394	-0.1903835	0.1386031	5096	FALSE
342	26275	26275	Gene	26275	ENSG00000198130	HIBCH	0.0626085	0.1734155	0.107949	0.03126525	0.0923167	0.3696307	0.1319713	0.2095876	0.1578936	0.3512833	-0.03299257	0.84179	26275	FALSE
346	5095	5095	Gene	5095	ENSG00000175198	PCCA	0.2204777	0.08833859	-0.09172128	0.4470376	-0.0372095	0.6932703	-0.213058	0.04375545	-0.1348153	0.2974398	-0.4123875	0.008168083	5095	FALSE
2394	4312	4312	Gene	4312	ENSG00000196611	MMP1	0.1384259	0.3759994	0.7932574	0.0004731233	0.1779584	0.1041271	-0.06399379	0.5330078	-0.2280731	0.1130516	-0.9429559	4.960889e-05	4312	FALSE
347	501	501	Gene	501	ENSG00000164904	ALDH7A1	0.06081491	0.2715299	0.1035738	0.07720951	0.2846116	0.002880833	0.1240383	0.1140257	0.1003117	0.3122438	-0.08163654	0.4062229	501	FALSE
2397	961	961	Gene	961	ENSG00000196776	CD47	-0.003557301	0.9631146	0.01601074	0.8353126	-0.01005067	0.8683099	0.01240088	0.8379665	0.009960964	0.8879256	-0.1706786	0.03493873	961	FALSE
349	30	30	Gene	30	ENSG00000060971	ACAA1	-0.03593461	0.5372392	-0.07277135	0.2262809	-0.05862507	0.4840007	-0.02605759	0.753129	-0.08621461	0.4015065	-0.4264647	0.001869543	30	FALSE
351	4594	4594	Gene	4594	ENSG00000146085	MMUT	0.02903268	0.4897974	0.0173844	0.6765109	-0.06907353	0.2711423	-0.04739472	0.4422045	0.04890641	0.5898769	-0.3718419	0.002183557	4594	FALSE
2399	1305	1305	Gene	1305	ENSG00000197467	COL13A1	-0.1415753	0.04448807	-0.09124775	0.1667803	-0.006041514	0.9057713	0.01483037	0.7718094	-0.04499111	0.5834788	-0.1962052	0.03516156	1305	FALSE
352	64087	64087	Gene	64087	ENSG00000131844	MCCC2	-0.006241197	0.8827889	-0.007983484	0.8504716	-0.1505169	0.02824326	-0.1358366	0.04304105	-0.02264711	0.6894317	-0.0382093	0.5037874	64087	FALSE
353	586	586	Gene	586	ENSG00000060982	BCAT1	-0.04486777	0.6167192	0.08401813	0.3571063	-0.05260084	0.4159215	-0.03663199	0.56738	0.09914968	0.5436426	1.290883	1.878546e-05	586	FALSE
354	549	549	Gene	549	ENSG00000148090	AUH	0.006883337	0.8971572	-0.03248069	0.546015	-0.04191311	0.5738704	-0.07525875	0.3217094	-0.3541209	0.02418552	-0.6614831	0.0006977932	549	FALSE
355	587	587	Gene	587	ENSG00000105552	BCAT2	0.02333441	0.6312701	0.04267135	0.3873552	0.1660144	0.01469928	0.04382429	0.4502165	0.07604506	0.3746043	0.03113273	0.7109581	587	FALSE
358	6723	6723	Gene	6723	ENSG00000116649	SRM	0.04878914	0.4339701	0.140079	0.04325277	0.02976127	0.7199018	-0.09806012	0.2531188	-0.1339249	0.4594734	-0.009623868	0.9569223	6723	FALSE
360	2747	2747	Gene	2747	ENSG00000182890	GLUD2	0.08406005	0.1852803	0.07222304	0.2490099	0.0746793	0.3145043	0.06507128	0.3776509	-0.1253853	0.5101906	-0.635906	0.007045828	2747	FALSE
2408	1290	1290	Gene	1290	ENSG00000204262	COL5A2	0.02843424	0.6560975	-0.05865313	0.3670104	-0.2193172	0.0332828	-0.08042703	0.3834007	-0.05650638	0.5120994	-0.1152468	0.1974978	1290	FALSE
2410	780	780	Gene	780	ENSG00000204580	DDR1	0.002783451	0.9487018	0.07430843	0.1112422	0.05709585	0.3790773	0.2886431	0.001057943	0.002723233	0.9805865	0.2031805	0.09503354	780	FALSE
363	384	384	Gene	384	ENSG00000081181	ARG2	0.1017483	0.2493643	0.2706281	0.009618411	-0.3870435	0.02520558	-0.4599949	0.01097947	0.01646069	0.9020998	-0.2039283	0.1516565	384	FALSE
2412	3672	3672	Gene	3672	ENSG00000213949	ITGA1	0.06214938	0.6672169	0.01743239	0.9035295	-0.03375354	0.6772099	0.1016159	0.2269223	0.2913748	0.302591	0.8233295	0.01303418	3672	FALSE
368	8974	8974	Gene	8974	ENSG00000072682	P4HA2	-0.07571481	0.3155761	0.08580609	0.259159	-0.138755	0.09135758	-0.1326451	0.1043689	-0.1737181	0.04078382	0.1721564	0.0422405	8974	FALSE
2417	5175	5175	Gene	5175	ENSG00000261371	PECAM1	0.05046575	0.4371819	0.1061299	0.1215076	0.02310323	0.6815084	0.06213152	0.2830747	-0.1204781	0.3060151	-0.5301343	0.001029012	5175	FALSE
2418	4321	4321	Gene	4321	ENSG00000262406	MMP12	-0.1548875	0.003293065	-0.1791477	0.001323555	0.1363191	0.2322341	0.1538189	0.1820847	-0.2411491	0.6801343	-1.911834	0.008254744	4321	FALSE
370	1152	1152	Gene	1152	ENSG00000166165	CKB	0.008797078	0.8566509	-0.02261656	0.6441079	-0.4232054	0.1335291	-0.575088	0.05139505	0.1359499	0.6872957	1.317958	0.00301739	1152	FALSE
372	4843	4843	Gene	4843	ENSG00000007171	NOS2	0.1807685	0.03321203	0.0934173	0.2264613	0.08865763	0.3328471	0.0004347445	0.9961097	0.03974053	0.6615695	0.1048771	0.2629953	4843	FALSE
2420	6401	6401	Gene	6401	ENSG00000007908	SELE	0.04137389	0.6721192	0.03916143	0.688549	-0.1721668	0.04987386	-0.07158522	0.372891	-0.1189738	0.1936062	-0.02166833	0.8037136	6401	FALSE
374	2806	2806	Gene	2806	ENSG00000125166	GOT2	0.07736205	0.2037563	0.07669647	0.2073292	-0.03904454	0.6989932	-0.2532518	0.02850985	-0.1236623	0.3542135	-0.007806409	0.9521706	2806	FALSE
2424	483	483	Gene	483	ENSG00000069849	ATP1B3	0.05236297	0.3826406	0.2000224	0.006676015	-0.1417081	0.05480891	-0.07518113	0.2733132	0.03881988	0.6785836	0.3942969	0.001888141	483	FALSE
378	51056	51056	Gene	51056	ENSG00000002549	LAP3	0.03165343	0.5531369	0.03885433	0.4688836	0.04817184	0.4861358	0.09211379	0.1977425	0.1021127	0.3634102	-0.3075138	0.01821032	51056	FALSE
2427	2734	2734	Gene	2734	ENSG00000090863	GLG1	-0.02285731	0.7626167	-0.3170825	0.001943254	-0.09353754	0.3369149	-0.06012636	0.5309356	-0.2570616	0.0826891	-0.5605575	0.002149153	2734	FALSE
2429	23428	23428	Gene	23428	ENSG00000092068	SLC7A8	-0.01839641	0.6704397	-0.01203042	0.7801476	0.1559948	0.0416111	0.1623163	0.03548569	-0.09304031	0.4202284	-0.7678601	6.804e-05	23428	FALSE
382	445	445	Gene	445	ENSG00000130707	ASS1	0.05470327	0.2843786	0.0288497	0.5630731	0.004013958	0.943441	0.2337016	0.001985348	0.04908822	0.8123154	-0.221151	0.2993563	445	FALSE
384	6303	6303	Gene	6303	ENSG00000130066	SAT1	0.01375105	0.7860325	0.1877692	0.004108139	0.1006206	0.2310975	0.2924413	0.004443285	0.3485534	0.02327159	1.332382	2.656021e-06	6303	FALSE
2433	10544	10544	Gene	10544	ENSG00000101000	PROCR	0.06434557	0.2389089	0.09078965	0.1088563	0.1697329	0.0634181	0.4683168	0.0002214248	-0.09963088	0.5569248	0.1159819	0.4956106	10544	FALSE
386	262	262	Gene	262	ENSG00000123505	AMD1	0.1400816	0.1748644	0.05292566	0.5914027	-0.1772176	0.03418748	-0.2147046	0.01429365	0.04817217	0.7753408	0.02710863	0.8721979	262	FALSE
2434	51378	51378	Gene	51378	ENSG00000101280	ANGPT4	0.005843755	0.9595512	0.05932914	0.6093291	0.1931513	0.005951099	0.2305165	0.002043305	-0.03810496	0.5872489	-0.07040403	0.3255406	51378	FALSE
2437	8140	8140	Gene	8140	ENSG00000103257	SLC7A5	0.02481557	0.6889137	0.1216321	0.07336026	0.08035381	0.2479792	0.07706519	0.2664995	-0.1160282	0.2861994	-0.2982593	0.01730013	8140	FALSE
390	58510	58510	Gene	58510	ENSG00000250799	PRODH2	0.06649758	0.2298011	-0.001455993	0.9781114	0.2138407	0.001748951	0.1580806	0.01033842	0.1259622	0.1166937	0.06318824	0.4063949	58510	FALSE
392	1158	1158	Gene	1158	ENSG00000104879	CKM	0.01074291	0.8397487	0.06351016	0.2497256	0.06166868	0.2586214	0.1238533	0.03791862	-0.09616599	0.2532681	-0.1953938	0.03512554	1158	FALSE
2442	6404	6404	Gene	6404	ENSG00000110876	SELPLG	-0.06067326	0.3331556	-0.03656379	0.5529439	0.06414565	0.246702	0.0307071	0.5681749	0.0919236	0.4866578	0.2978648	0.0434474	6404	FALSE
2444	965	965	Gene	965	ENSG00000116815	CD58	-0.0412952	0.5066683	0.1222765	0.07092005	0.05552924	0.474783	0.2419803	0.009585678	0.2157318	0.04585869	0.3995634	0.002050351	965	FALSE
396	65263	65263	Gene	65263	ENSG00000104524	PYCR3	-0.1780406	0.01032732	-0.09484447	0.1193578	-0.1031367	0.1489253	-0.09566993	0.1773142	-0.1069103	0.2511242	-0.1015517	0.2739367	65263	FALSE
2446	962	962	Gene	962	ENSG00000117091	CD48	-0.1294631	0.2195532	-0.05060717	0.6183806	0.16135	0.05134515	0.1688547	0.04321571	0.0007273025	0.9952005	0.0998978	0.4177354	962	FALSE
399	1160	1160	Gene	1160	ENSG00000131730	CKMT2	0.01944142	0.716688	0.07086063	0.2054157	0.2822555	0.009628543	0.1181317	0.20664	-0.0834751	0.3109255	-0.04596623	0.5688567	1160	FALSE
2449	8795	8795	Gene	8795	ENSG00000120889	TNFRSF10B	0.05387041	0.3041412	0.1609411	0.00992633	-0.08371694	0.1244316	0.06475798	0.222878	0.100045	0.1436849	0.06670959	0.3131796	8795	FALSE
401	4953	4953	Gene	4953	ENSG00000115758	ODC1	0.008685008	0.8713429	0.1336085	0.03055285	-0.2076665	0.06763409	-0.1310306	0.2235336	-0.09071261	0.2808262	-0.2557494	0.01033275	4953	FALSE
2450	51744	51744	Gene	51744	ENSG00000122223	CD244	-0.08213806	0.4251809	-0.1019382	0.3269684	0.1883763	0.05764557	0.1956058	0.05025013	-0.2759291	0.03145493	-0.4390832	0.002910833	51744	FALSE
403	10855	10855	Gene	10855	ENSG00000173083	HPSE	-0.005134873	0.9583754	-0.04419211	0.6551571	-0.1796749	0.1534846	-0.04570183	0.7016199	-0.262651	0.3324419	-1.078239	0.002327826	10855	FALSE
2452	29802	29802	Gene	29802	ENSG00000128218	VPREB3	-0.1764371	0.1210873	-0.03972578	0.7088347	0.03638945	0.58014	0.2005519	0.01105064	-0.0816696	0.3034876	-0.05780977	0.45957	29802	FALSE
405	2720	2720	Gene	2720	ENSG00000170266	GLB1	0.06648341	0.1553403	0.02726018	0.5406244	-0.0494193	0.7494216	-0.02717349	0.8603141	0.04399708	0.5466098	-0.2521772	0.005908499	2720	FALSE
406	2990	2990	Gene	2990	ENSG00000169919	GUSB	-0.03798249	0.3952747	-0.0814578	0.08787321	-0.05140455	0.6236649	-0.1829449	0.1032074	-0.1618715	0.1189682	-0.4976099	0.0005072269	2990	FALSE
407	8372	8372	Gene	8372	ENSG00000186792	HYAL3	0.08741819	0.1718766	0.08525922	0.1816268	-0.1336535	0.08751407	-0.1882009	0.02413018	-0.05219671	0.5524922	-0.1796029	0.06290482	8372	FALSE
2455	56301	56301	Gene	56301	ENSG00000130876	SLC7A10	0.02135924	0.669736	0.01940801	0.6980873	-0.02720648	0.7184838	-0.03987206	0.5987949	0.2172808	0.027084	0.2168804	0.02730002	56301	FALSE
2456	3512	3512	Gene	3512	ENSG00000132465	JCHAIN	-0.01050962	0.8778509	0.03359615	0.6253779	-0.2623636	0.01646248	-0.113875	0.2361656	-0.1237026	0.2182477	0.0415885	0.6667056	3512	FALSE
409	23553	23553	Gene	23553	ENSG00000106302	HYAL4	0.01364581	0.8446507	0.07688561	0.2851924	-0.005117417	0.9302288	0.03931825	0.5063184	0.04285739	0.5935472	0.2082956	0.0249877	23553	FALSE
2458	9123	9123	Gene	9123	ENSG00000141526	SLC16A3	0.004373535	0.9133272	0.1250352	0.01085024	0.03942043	0.7559686	0.172465	0.1937414	-0.04009818	0.8498263	0.3056681	0.1717808	9123	FALSE
411	8692	8692	Gene	8692	ENSG00000068001	HYAL2	0.06748663	0.4033122	0.08672911	0.288904	0.1994814	0.01310388	0.2271587	0.006562745	0.03991276	0.7529872	-0.03610707	0.7757623	8692	FALSE
2459	2886	2886	Gene	2886	ENSG00000141738	GRB7	0.0841404	0.3789651	-0.01849896	0.8433179	0.09730167	0.340614	0.2289364	0.04143084	0.1236426	0.2998365	0.02185024	0.8501282	2886	FALSE
2460	481	481	Gene	481	ENSG00000143153	ATP1B1	-0.02521312	0.6050668	0.04229458	0.3921653	0.02216353	0.6586135	0.009192558	0.853949	-0.1768063	0.2900619	-1.411772	9.217164e-06	481	FALSE
413	138050	138050	Gene	138050	ENSG00000165102	HGSNAT	-0.1117772	0.09608878	0.006987477	0.9100605	-0.2318576	0.04828278	-0.2607507	0.03014791	-0.02208191	0.844476	-0.1844074	0.1262536	138050	FALSE
414	2588	2588	Gene	2588	ENSG00000141012	GALNS	0.07328315	0.2829418	0.1597745	0.03446718	-0.03670808	0.7995614	-0.313245	0.05167226	0.06282376	0.6997322	0.1676493	0.3156895	2588	FALSE
2463	23657	23657	Gene	23657	ENSG00000151012	SLC7A11	0.07778356	0.2182164	0.1159882	0.07985745	-0.201456	0.03001132	-0.2209316	0.01988121	0.3482129	0.1331578	1.607147	3.399146e-05	23657	FALSE
2464	10461	10461	Gene	10461	ENSG00000153208	MERTK	0.03085498	0.5943423	0.04482116	0.4432442	-0.05159638	0.4046131	-0.04409494	0.4740446	-0.2499874	0.2031011	-1.37544	3.648919e-05	10461	FALSE
2466	6566	6566	Gene	6566	ENSG00000155380	SLC16A1	0.1337102	0.02314119	0.1296541	0.02650404	-0.04260195	0.5765019	0.0319101	0.6745379	0.01507643	0.9179199	-0.5145893	0.005667881	6566	FALSE
2467	9056	9056	Gene	9056	ENSG00000155465	SLC7A7	-0.07579971	0.06950329	-0.1116903	0.0141428	-0.04722301	0.5708611	-0.02046164	0.804612	-0.2855341	0.1804503	-0.3676597	0.09443451	9056	FALSE
2468	7102	7102	Gene	7102	ENSG00000156298	TSPAN7	0.07928054	0.4552515	0.0398369	0.7041149	-0.2082848	0.04638004	0.02065308	0.8249151	0.1677457	0.3762281	0.1609573	0.3950116	7102	FALSE
2469	2207	2207	Gene	2207	ENSG00000158869	FCER1G	0.1649911	0.1580289	0.5696913	0.0004859367	-0.03887958	0.7910707	0.09078791	0.5396571	-0.1859533	0.05384809	-0.5359568	0.0001305893	2207	FALSE
423	129642	129642	Gene	129642	ENSG00000143797	MBOAT2	-0.03737775	0.493548	-0.1264876	0.03897052	-0.110277	0.331962	-0.3306409	0.01282195	0.1140013	0.1444172	0.1505056	0.06412992	129642	FALSE
2472	6520	6520	Gene	6520	ENSG00000168003	SLC3A2	0.06485766	0.2048929	0.1804807	0.004208755	0.05752362	0.3370189	-0.0358145	0.5437445	0.1434374	0.3886873	0.9222479	0.0002597793	6520	FALSE
2473	3635	3635	Gene	3635	ENSG00000168918	INPP5D	-0.05821437	0.2262333	0.001694485	0.9706612	-0.02655941	0.5954945	-0.004257923	0.9316512	-0.1895477	0.3898388	-0.5875006	0.02083705	3635	FALSE
425	9388	9388	Gene	9388	ENSG00000101670	LIPG	0.2048062	0.1984965	0.3999155	0.02400131	-0.0231625	0.7106818	-0.127934	0.06268472	-0.1391542	0.301599	-0.6088507	0.001001786	9388	FALSE
426	8525	8525	Gene	8525	ENSG00000149091	DGKZ	0.001871639	0.978489	0.06733907	0.3446562	-0.2589185	0.03558084	-0.377929	0.005559465	-0.2360919	0.06402186	-0.5097225	0.001393431	8525	FALSE
427	8526	8526	Gene	8526	ENSG00000153933	DGKE	0.07832521	0.3987866	-0.02353456	0.796112	-0.1493283	0.0935338	-0.2929213	0.004891824	0.07721237	0.3893021	0.2242558	0.02763651	8526	FALSE
428	8527	8527	Gene	8527	ENSG00000077044	DGKD	-0.07333194	0.1624137	0.0347904	0.4886324	-0.2645671	0.03942054	-0.2442674	0.0534643	-0.1842853	0.08142951	-0.5270181	0.0003380916	8527	FALSE
2477	1084	1084	Gene	1084	ENSG00000170956	CEACAM3	-0.03635948	0.5882349	-0.004683164	0.9439372	0.1712179	0.03949763	0.1280882	0.1060114	0.0169736	0.8130232	-0.09232351	0.2180417	1084	FALSE
2478	4973	4973	Gene	4973	ENSG00000173391	OLR1	0.03815229	0.8260129	0.3674909	0.05722855	0.04849053	0.4456183	0.1604353	0.02632484	0.1191278	0.2962406	-0.003690364	0.9733395	4973	FALSE
2479	8793	8793	Gene	8793	ENSG00000173530	TNFRSF10D	-0.2228763	0.007640981	-0.000880783	0.9895097	-0.02965075	0.7725956	-0.04204329	0.6826841	-0.01498046	0.9002349	-0.02085394	0.8615184	8793	FALSE
431	2710	2710	Gene	2710	ENSG00000198814	GK	-0.1169972	0.5631012	-0.1910982	0.3524564	-0.4043083	0.07287856	-0.5210847	0.02769648	0.1599671	0.3477678	0.5952401	0.005090728	2710	FALSE
2480	6403	6403	Gene	6403	ENSG00000174175	SELP	-0.06123444	0.4210476	0.02012847	0.7879438	0.1132767	0.2115615	0.2322214	0.02174472	0.1860635	0.03918807	0.2195008	0.01930451	6403	FALSE
2481	7525	7525	Gene	7525	ENSG00000176105	YES1	0.0388716	0.5029231	0.02632033	0.6478164	0.06256201	0.4447867	0.1439092	0.09843775	0.1843149	0.3037256	0.6182971	0.005306327	7525	FALSE
433	2712	2712	Gene	2712	ENSG00000196475	GK2	0.08203534	0.1747946	-0.01001217	0.8612798	0.0224918	0.6622204	0.036029	0.4876317	0.02866337	0.6867717	0.2171954	0.01172836	2712	FALSE
434	2717	2717	Gene	2717	ENSG00000102393	GLA	-0.0289113	0.5673271	-0.05261289	0.3080694	-0.01893695	0.822698	0.03983584	0.6389761	0.001671638	0.9881315	0.6590723	0.0002019393	2717	FALSE
2483	2621	2621	Gene	2621	ENSG00000183087	GAS6	0.01146233	0.7953128	-0.01567816	0.723167	-0.008632174	0.8948765	-0.02821389	0.6672942	-0.1771181	0.06669471	-0.4857246	0.0002945223	2621	FALSE
435	55750	55750	Gene	55750	ENSG00000006530	AGK	0.05851305	0.2807443	-0.08186241	0.1428751	-0.4046467	0.0003507787	-0.2781978	0.00423559	0.00621877	0.9623452	-0.1413151	0.2987615	55750	FALSE
2486	140885	140885	Gene	140885	ENSG00000198053	SIRPA	-0.1033522	0.1683061	-0.220935	0.01080163	-0.08539365	0.4184	-0.003230059	0.9751293	-0.008719019	0.9056917	-0.08123028	0.2857372	140885	FALSE
439	56895	56895	Gene	56895	ENSG00000026652	AGPAT4	-0.03093705	0.6869159	-0.09617882	0.2278063	-0.2274009	0.01725425	-0.3012705	0.00377193	-0.07396278	0.6064968	0.3880942	0.02084645	56895	FALSE
2487	3897	3897	Gene	3897	ENSG00000198910	L1CAM	-0.003279156	0.9514473	0.001370504	0.9796955	0.1734024	0.01819664	0.1427874	0.04215604	0.1014816	0.2217659	0.1609556	0.06716651	3897	FALSE
2488	57126	57126	Gene	57126	ENSG00000204936	CD177	-0.08501136	0.1241482	-0.09133647	0.1017796	0.3414521	0.01051055	0.2457328	0.04636067	0.00521783	0.9745435	0.08921492	0.5885446	57126	FALSE
2489	5673	5673	Gene	5673	ENSG00000204941	PSG5	0.03081519	0.7258819	0.09819224	0.2787457	0.2163822	0.03405467	0.2307936	0.02585464	0.1044265	0.4823258	0.1708758	0.2611973	5673	FALSE
2490	5671	5671	Gene	5671	ENSG00000221826	PSG3	-0.02698123	0.8077968	-0.009091775	0.934568	0.1455697	0.1268397	0.2341045	0.02380485	0.03810563	0.6638577	0.1419267	0.1287851	5671	FALSE
444	8694	8694	Gene	8694	ENSG00000185000	DGAT1	0.002677367	0.9534929	0.1049929	0.04323629	-0.0841527	0.5137706	-0.1819272	0.1751098	-0.1489947	0.3219076	-0.3434652	0.03900196	8694	FALSE
445	4023	4023	Gene	4023	ENSG00000175445	LPL	-0.01578447	0.7599428	-0.004458413	0.9310511	-0.2880283	0.002145653	-0.6316529	5.496121e-06	-0.1654169	0.233287	-0.6605027	0.0006581763	4023	FALSE
2495	5680	5680	Gene	5680	ENSG00000243130	PSG11	-0.1150964	0.1458307	-0.02888388	0.6987775	0.476103	0.001008684	0.08285835	0.4336925	0.09204029	0.5140891	0.1430968	0.3185666	5680	FALSE
447	1607	1607	Gene	1607	ENSG00000136267	DGKB	-0.1655117	0.03733042	-0.1618582	0.0407767	0.1091044	0.2799051	0.1395995	0.1750463	-0.011448	0.8995521	-0.1113916	0.2383787	1607	FALSE
2496	5672	5672	Gene	5672	ENSG00000243137	PSG4	-0.1368837	0.3798099	0.3177054	0.06070475	0.04800714	0.7969919	0.3258113	0.104741	-0.02089856	0.8864286	0.3316495	0.04482311	5672	FALSE
448	1608	1608	Gene	1608	ENSG00000058866	DGKG	-0.009101295	0.8768486	-0.02726847	0.6442711	0.1553141	0.01853031	0.0550945	0.3382149	-0.06661097	0.3625348	-0.1558487	0.05165686	1608	FALSE
449	10327	10327	Gene	10327	ENSG00000117448	AKR1A1	0.003637907	0.9430343	0.05837095	0.2686822	-0.1398492	0.08747214	-0.2366453	0.009836335	0.08546545	0.5050819	0.2626075	0.06190302	10327	FALSE
2499	6936	6936	Gene	6936	ENSG00000005436	GCFC2	0.01035701	0.9167699	-0.01549402	0.8758164	0.1607994	0.2148054	0.295189	0.03623457	0.1838517	0.389797	0.295068	0.1810939	6936	FALSE
2500	5725	5725	Gene	5725	ENSG00000011304	PTBP1	-0.01393104	0.7975221	0.04998207	0.36783	-0.144495	0.05287809	-0.121415	0.09433314	-0.03347049	0.7128238	0.5143358	0.0002554415	5725	FALSE
452	3990	3990	Gene	3990	ENSG00000166035	LIPC	-0.08160964	0.2509024	-0.2275639	0.007622567	0.04458508	0.5292064	-0.09494393	0.196278	0.0342898	0.6221656	-0.004877122	0.9437306	3990	FALSE
2501	9716	9716	Gene	9716	ENSG00000021776	AQR	0.04412627	0.6622104	-0.1021004	0.3232849	-0.07378465	0.3049434	-0.1585927	0.04351743	-0.04485617	0.5906918	-0.04240819	0.6107972	9716	FALSE
2502	23517	23517	Gene	23517	ENSG00000039123	MTREX	0.1271261	0.08846623	0.0337485	0.6242565	-0.2345872	0.03373692	-0.2225159	0.04174733	0.03539647	0.7566871	0.2462644	0.05355579	23517	FALSE
2503	7175	7175	Gene	7175	ENSG00000047410	TPR	0.00877241	0.9107285	-0.215672	0.0195938	0.1035862	0.228756	0.08035657	0.3429254	-0.0760817	0.5003513	-0.4639328	0.002082395	7175	FALSE
456	11343	11343	Gene	11343	ENSG00000074416	MGLL	0.01334126	0.8855246	-0.09622024	0.313283	-0.02573474	0.8142777	0.2192658	0.06844836	0.3490697	0.4703471	1.394555	0.01481684	11343	FALSE
458	80339	80339	Gene	80339	ENSG00000100344	PNPLA3	-0.1108945	0.6664644	-0.7442937	0.01522265	0.06774002	0.4028548	0.01462852	0.853963	-0.1794907	0.1003601	-0.5444061	0.0003637345	80339	FALSE
2506	55706	55706	Gene	55706	ENSG00000058804	NDC1	0.2757739	0.02748923	0.1850937	0.11164	-0.06528014	0.421339	0.0167842	0.8334552	0.1699748	0.2625215	0.3332751	0.04389817	55706	FALSE
460	8612	8612	Gene	8612	ENSG00000141934	PLPP2	0.07607283	0.2854281	0.3047954	0.001391284	0.01888369	0.7816988	0.06765221	0.332584	0.09840188	0.3507916	0.1174019	0.2705337	8612	FALSE
2508	9410	9410	Gene	9410	ENSG00000060688	SNRNP40	-0.09445625	0.5065927	-0.09243917	0.5154875	-0.232783	0.004036788	-0.1345218	0.05548094	0.0473041	0.8367971	0.3213252	0.1838198	9410	FALSE
2509	11338	11338	Gene	11338	ENSG00000063244	U2AF2	0.1301313	0.02641879	0.09777005	0.07751706	-0.03251295	0.6576764	-0.0455539	0.5368116	0.04859505	0.6525953	0.06174444	0.5687372	11338	FALSE
461	10554	10554	Gene	10554	ENSG00000204310	AGPAT1	0.04645689	0.2646872	0.07749597	0.07855797	-0.05755183	0.6273419	-0.2644966	0.04545776	-0.1659097	0.03236823	-0.2453426	0.004672887	10554	FALSE
465	8513	8513	Gene	8513	ENSG00000182333	LIPF	-0.1609648	0.2333457	-0.1305232	0.3272152	0.1666199	0.1856121	0.008759446	0.9417084	-0.03669102	0.5653316	0.149133	0.03841745	8513	FALSE
2514	6626	6626	Gene	6626	ENSG00000077312	SNRPA	0.164215	0.005614918	0.2288641	0.0007028978	0.1257052	0.1405729	-0.1295612	0.1301248	-0.1236871	0.6240384	-0.02482091	0.9211171	6626	FALSE
466	9514	9514	Gene	9514	ENSG00000128242	GAL3ST1	-0.1840021	0.05398406	-0.01655111	0.8464532	0.09466164	0.2252577	0.09030009	0.2456942	0.08131671	0.2118784	0.1502815	0.03490448	9514	FALSE
2516	10450	10450	Gene	10450	ENSG00000084072	PPIE	0.02292661	0.6796068	0.02586037	0.641771	0.0189718	0.8231593	-0.1155656	0.1937718	-0.08518109	0.2680174	-0.2292223	0.01132937	10450	FALSE
468	2581	2581	Gene	2581	ENSG00000054983	GALC	0.02561093	0.5783346	-0.03117413	0.5005127	-0.1805291	0.02664426	-0.1670684	0.03693727	-0.1292801	0.09382754	-0.6398827	7.053264e-06	2581	FALSE
2517	51729	51729	Gene	51729	ENSG00000084463	WBP11	0.05596059	0.3551836	0.05208246	0.3879729	0.1484052	0.1229904	-0.001795815	0.9840643	0.01588958	0.8539458	0.1926933	0.04739626	51729	FALSE
2519	55696	55696	Gene	55696	ENSG00000086589	RBM22	0.01999815	0.6748227	0.0916519	0.07822453	-0.1139114	0.35486	-0.03359624	0.7803062	0.05738479	0.5584271	0.2762504	0.01701349	55696	FALSE
